text,label
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Sebaceous Hyperplasia
"vomiting,headache,nausea,loss_of_balance,unsteadiness",Adhd
I have been having a lot of pain in my neck and back. I also have been coughing a lot and I feel weak in my arms and legs. I have also been dizzy and I have trouble balancing myself.,Eczema
"In the early stages of diabetic nephropathy, you would most likely not notice any signs or symptoms. In later stages, signs and symptoms may include:  Worsening blood pressure control Protein in the urine Swelling of feet, ankles, hands or eyes Increased need to urinate Reduced need for insulin or diabetes medicine Confusion or difficulty concentrating Shortness of breath Loss of appetite Nausea and vomiting Persistent itching Fatigue ",Immunodeficiency
"headache,nausea,spinning_movements,loss_of_balance,unsteadiness",Adhd
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Rosacea
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",Schizophrenia (Negative Symptoms)
"fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Amblyopia
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Rheumatoid Arthritis
"weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Hypogonadism
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Posterior Vitreous Detachment
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Sebaceous Hyperplasia
I have been experiencing severe joint pain and headaches for the past few days. I also have a mild fever and chills. ,Hormone-Secreting Tumors
"mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Hormone-Secreting Tumors
"I've been coughing a lot, and it's hard to breathe. I'm also really tired and exhausted. I've been coughing up a lot of thick, mucusy stuff. I have a fever, too.",Delirium
"fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Precocious Puberty
I've been having trouble breathing and I've been coughing up a lot of mucus. I've also been feeling really tired.,Delirium
"I've been having a lot of pain in my joints, especially my knees and hips. It's hard for me to move around and I'm always feeling stiff. I've also been having a lot of trouble sleeping because of the pain.",Blood Disorders
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain",Fatigue
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
"shivering,chills,watering_from_eyes",Anhedonia
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Sebaceous Hyperplasia
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"I've been feeling dizzy and lightheaded, and I've been having trouble balancing. I've also had a headache that won't go away.",Rhabdomyolysis
"continuous_sneezing,shivering,watering_from_eyes",Anhedonia
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Pregnancy Cravings/Aversions
Each infectious disease has its own specific signs and symptoms. General signs and symptoms common to a number of infectious diseases include:  Fever Diarrhea Fatigue Muscle aches Coughing ,Sepsis (In Elderly/Infants)
"I have a cough that won't go away, and I'm having trouble breathing. I'm also really weak and tired, and my fever is really high. I'm coughing up a lot of mucus, and I'm really angry and frustrated.",Delirium
"vomiting,breathlessness,sweating,chest_pain",Pertussis
"I've been experiencing neck pain, vertigo, and instability. I've also been having a chronic cough and limb weakness.",Eczema
"fatigue,mood_swings,weight_loss,restlessness,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough",Osteoporosis (Fracture)
"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",Blood Disorders
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"vomiting,sunken_eyes,dehydration,diarrhoea",Oral Cancer
"skin_rash,pus_filled_pimples,blackheads,scurring",Acne
"vomiting,breathlessness,sweating,chest_pain",Pertussis
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",Adhd
"itching,skin_rash,nodal_skin_eruptions",Normal Pressure Hydrocephalus
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",Iron Deficiency
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Pregnancy
"I've been having a lot of pain in my joints, especially my knees and hips. I've also been feeling really stiff and it's hard to move around.",Blood Disorders
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Eczema
"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain",Osteoporosis (Fracture)
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",Blood Disorders
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"Your medical team will likely be the first to recognize ambiguous genitalia soon after your baby is born. Occasionally, ambiguous genitalia may be suspected before birth (prenatally). Characteristics can vary in severity, depending on when during genital development the problem occurred and the cause of the disorder. Babies who are genetically female (with two X chromosomes) may have:  An enlarged clitoris, which may resemble a penis Closed labia, or labia that include folds and resemble a scrotum Lumps that feel like testes in the fused labia  Babies who are genetically male (with one X and one Y chromosome) may have:  A condition in which the narrow tube that carries urine and semen (urethra) doesn't fully extend to the tip of the penis (hypospadias) An abnormally small penis with the urethral opening closer to the scrotum The absence of one or both testicles in what appears to be the scrotum Undescended testicles and an empty scrotum that has the appearance of a labia with or without a micropenis ",Anxiety
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"itching,nodal_skin_eruptions,dischromic__patches",Normal Pressure Hydrocephalus
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Posterior Vitreous Detachment
"vomiting,headache,nausea,loss_of_balance,unsteadiness",Adhd
"weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Eczema
"sunken_eyes,dehydration,diarrhoea",Oral Cancer
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Pregnancy Cravings/Aversions
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Epididymal Cyst
"fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Hypogonadism
"The signs and symptoms of hydrocephalus vary somewhat by age of onset.  Infants Common signs and symptoms of hydrocephalus in infants include: Changes in the head  An unusually large head A rapid increase in the size of the head A bulging or tense soft spot (fontanel) on the top of the head  Physical signs and symptoms  Nausea and vomiting Sleepiness or sluggishness (lethargy) Irritability Poor eating Seizures Eyes fixed downward (sunsetting of the eyes) Problems with muscle tone and strength  Toddlers and older children Among toddlers and older children, signs and symptoms might include: Physical signs and symptoms  Headache Blurred or double vision Abnormal eye movements Abnormal enlargement of a toddler's head Sleepiness or sluggishness Nausea or vomiting Unstable balance Poor coordination Poor appetite Loss of bladder control or frequent urination  Behavioral and cognitive changes  Irritability Change in personality Decline in school performance Delays or problems with previously acquired skills, such as walking or talking  Young and middle-aged adults Common signs and symptoms in this age group include:  Headache Sluggishness Loss of coordination or balance Loss of bladder control or a frequent urge to urinate Vision problems Decline in memory, concentration and other thinking skills that may affect job performance  Older adults Among adults 60 years of age and older, the more common signs and symptoms of hydrocephalus are:  Loss of bladder control or a frequent urge to urinate Memory loss Progressive loss of other thinking or reasoning skills Difficulty walking, often described as a shuffling gait or the feeling of the feet being stuck Poor coordination or balance ",Respiratory Muscle Weakness
"chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain",Tuberculosis
"vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Specific Learning Disorder (Dyslexia
"I have a stiff neck and eye issues, and I've been hungry all the time.",Vocal Cord Paralysis
"itching,skin_rash,nodal_skin_eruptions",Normal Pressure Hydrocephalus
"itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Epididymal Cyst
"vomiting,breathlessness,sweating,chest_pain",Pertussis
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Osteoporosis (Fracture)
"vomiting,sunken_eyes,dehydration,diarrhoea",Oral Cancer
"continuous_sneezing,shivering,chills,watering_from_eyes",Anhedonia
I have been experiencing neck pain and feeling lightheaded and unstable on my feet.,Eczema
"fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Hypogonadism
"Signs and symptoms of cholangiocarcinoma include:  Yellowing of your skin and the whites of your eyes (jaundice) Intensely itchy skin White-colored stools Fatigue Abdominal pain on the right side, just below the ribs Losing weight without trying Fever Night sweats Dark urine ",Eustachian Tube Dysfunction
"Each person with Down syndrome is an individual — intellectual and developmental problems may be mild, moderate or severe. Some people are healthy while others have significant health problems such as serious heart defects. Children and adults with Down syndrome have distinct facial features. Though not all people with Down syndrome have the same features, some of the more common features include:  Flattened face Small head Short neck Protruding tongue Upward slanting eye lids (palpebral fissures) Unusually shaped or small ears Poor muscle tone Broad, short hands with a single crease in the palm Relatively short fingers and small hands and feet Excessive flexibility Tiny white spots on the colored part (iris) of the eye called Brushfield's spots Short height  Infants with Down syndrome may be average size, but typically they grow slowly and remain shorter than other children the same age. Intellectual disabilities Most children with Down syndrome have mild to moderate cognitive impairment. Language is delayed, and both short and long-term memory is affected.",Insulin Resistance
"constipation,pain_in_anal_region,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Tuberculosis
"I've been losing weight and feeling sick to my stomach. My skin is yellow, and I have a fever. My urine is dark, and my stomach hurts.",Specific Learning Disorder (Dyslexia
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Pregnancy Cravings/Aversions
"Churg-Strauss syndrome varies greatly from person to person. Some people have only mild symptoms. Others have severe or life-threatening complications. Also known as EGPA, the syndrome tends to occur in three stages and gets progressively worse. Almost everyone with the condition has asthma, chronic sinusitis and elevated counts of white blood cells called eosinophils. Other signs and symptoms might include:  Loss of appetite and weight loss Joint and muscle pain Abdominal pain and gastrointestinal bleeding Weakness, fatigue or a general feeling of being unwell Rash or skin sores Pain, numbness, and tingling in your hands and feet ",Friction
"An enlarged liver might not cause symptoms. When enlarged liver results from liver disease, it might be accompanied by:  Abdominal pain Fatigue Nausea and vomiting Yellowing of the skin and the whites of the eyes (jaundice) ",Low Self-Esteem
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",Blood Disorders
"constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
"itching,skin_rash,nodal_skin_eruptions",Normal Pressure Hydrocephalus
"patches_in_throat,high_fever,extra_marital_contacts",Amblyopia
"skin_rash,pus_filled_pimples,blackheads,scurring",Acne
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Osteoporosis (Fracture)
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Posterior Vitreous Detachment
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Tuberculosis
"back_pain,weakness_in_limbs,dizziness,loss_of_balance",Eczema
"vomiting,sunken_eyes,dehydration,diarrhoea",Oral Cancer
"fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
I have a fever and a headache. I have sores near my nose and rashes on my neck. I'm really struggling right now.,Sebaceous Hyperplasia
"muscle_wasting,patches_in_throat,high_fever",Amblyopia
"Common signs and symptoms of GERD include: GERD  A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down Backwash (regurgitation) of food or sour liquid Upper abdominal or chest pain Trouble swallowing (dysphagia) Sensation of a lump in your throat  If you have nighttime acid reflux, you might also experience:  An ongoing cough Inflammation of the vocal cords (laryngitis) New or worsening asthma ",Osteoporosis (Fracture)
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Osteoporosis (Fracture)
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Pregnancy
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Vocal Cord Paralysis
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",Iron Deficiency
"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain",Tuberculosis
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Pregnancy Cravings/Aversions
"Aphasia is a symptom of some other condition, such as a stroke or a brain tumor. A person with aphasia may:  Speak in short or incomplete sentences Speak in sentences that don't make sense Substitute one word for another or one sound for another Speak unrecognizable words Have difficulty finding words Not understand other people's conversation Not understand what they read Write sentences that don't make sense  Patterns of aphasia People with aphasia may have different strengths and weaknesses in their speech patterns. Sometimes these patterns are labeled as different types of aphasia, including:  Broca's aphasia  Wernicke aphasia Transcortical aphasia Conduction aphasia Mixed aphasia Global aphasia  These patterns describe how well the person can understand what others say. They also describe how easy it is for the person to speak or to correctly repeat what someone else says. Aphasia may develop slowly over time. When that happens, the aphasia may be labeled with one of these names:  Logopenic aphasia Semantic aphasia Agrammatism  Many people with aphasia have patterns of speech difficulty that don't match these types. It may help to consider that each person with aphasia has unique symptoms, strengths and weaknesses rather than trying to label a particular type of aphasia.",Bladder Cancer
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Genetic Factors
I've been experiencing stiffness and weakness in my neck muscles recently. My joints have grown stiff and it's hard for me to run without getting stiff. Walking is also very uncomfortable.,Blood Disorders
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Angioedema
"skin_rash,blackheads,scurring",Acne
"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain",Osteoporosis (Fracture)
"A brain arteriovenous malformation may not cause any signs or symptoms until the AVM ruptures, resulting in hemorrhage. In about half of all brain AVMs, hemorrhage is the first sign. AVM AVM But some people with brain AVM may experience signs and symptoms other than bleeding, such as: AVM  Seizures Headache or pain in one area of the head Muscle weakness or numbness in one part of the body  Some people may experience more-serious neurological signs and symptoms, depending on the location of the AVM, including: AVM  Severe headache Weakness, numbness or paralysis Vision loss Difficulty speaking Confusion or inability to understand others Severe unsteadiness  Signs and symptoms of a brain AVM may begin at any age but usually emerge between ages 10 and 40. Brain AVMs can damage brain tissue over time. The effects slowly build and often cause symptoms in early adulthood. AVM AVM By middle age, however, brain AVMs tend to remain stable and are less likely to cause symptoms. AVM Research hasn't found that pregnancy increases the risk of hemorrhage for people with a brain AVM. However, more research needs to be done. AVM One severe type of brain AVM involves the vein of Galen. It causes signs and symptoms that emerge soon or immediately after birth. The major blood vessel involved in this type of brain AVM can cause fluid to build up in the brain and the head to swell. It can also cause swollen veins that are visible on the scalp, seizures, failure to thrive and congestive heart failure.",Conjunctivitis (Pink Eye)
"If your child has clubfoot, here's what it might look like:  The top of the foot is usually twisted downward and inward, increasing the arch and turning the heel inward. The foot may be turned so severely that it actually looks as if it's upside down. The affected leg or foot may be slightly shorter. The calf muscles in the affected leg are usually underdeveloped.  Despite its look, clubfoot itself doesn't cause any discomfort or pain.",Fungal Infection (Jock Itch)
"           Athlete's foot       Open pop-up dialog box          Close    Athlete's foot   Athlete's foot Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn.               Athlete's foot       Open pop-up dialog box           Athlete's foot       Open pop-up dialog box  Open pop-up dialog box       Close    Athlete's foot   Athlete's foot Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn.          Close    Athlete's foot   Athlete's foot Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn.        Close    Athlete's foot   Athlete's foot Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn.     Close    Close  Close Athlete's foot   Athlete's foot Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn.  Athlete's foot Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn. Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn. Athlete's foot can affect one or both feet. Common signs and symptoms are:  Scaly, peeling or cracked skin between the toes Itchiness, especially right after taking off shoes and socks Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color Burning or stinging Blisters Dry, scaly skin on the bottom of the foot that extends up the side ",Buerger'S Disease
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Amblyopia
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Delirium
"headache,chest_pain,loss_of_balance,lack_of_concentration",Rheumatoid Arthritis
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Osteoporosis (Fracture)
"continuous_sneezing,shivering,chills",Anhedonia
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Postnasal Drip
Ingrown toenail symptoms include:  Pain and tenderness Inflamed skin Swelling Infection ,Severe Infection (Sepsis
"vomiting,sunken_eyes,diarrhoea",Oral Cancer
"Common symptoms of hemifacial spasm include twitching or contracting of muscles in the face that are usually:  On one side of the face Uncontrollable Painless  These contractions often start in the eyelid, then may progress and affect the cheek and mouth on the same side of the face. At first, hemifacial spasms come and go. But eventually, usually over the course of several months to a few years, they occur almost constantly. Occasionally, hemifacial spasms may occur on both sides of the face. However, the twitching doesn't occur on both sides of the face at the same time. Causes Hemifacial spasm is most often caused by a blood vessel touching a facial nerve. It can also be caused by a facial nerve injury or a tumor. Sometimes there's no identifiable cause. Hemifacial spasm may sometimes be triggered by:  Moving the muscles in the face Anxiety Stress Fatigue                   By Mayo Clinic Staff By Mayo Clinic Staff  Hemifacial spasm care at Mayo Clinic ",Poor Dental Hygiene
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Rheumatoid Arthritis
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Delirium
"fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history",Precocious Puberty
Cellulitis usually occurs on one side of the body. Its signs and symptoms may include:  An irritated area of skin that tends to expand Swelling Tenderness Pain Warmth Fever Chills Spots Blisters Skin dimpling ,Dyspraxia
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"Signs and symptoms of calciphylaxis include:  Large purple net-like patterns on skin Deep, very painful lumps that ulcerate creating open sores with black-brown crust that fails to heal — typically in skin areas with high fat content, such as the stomach and thigh, although they can occur anywhere Infections from wounds that don't heal  Causes The exact cause of calciphylaxis is unknown, but recent studies have revealed that most people with the condition have abnormalities in blood-clotting factors. Blood-clotting factors are substances in your blood that help stop bleeding. These abnormalities can lead to small blood clots forming more often than they normally would. In addition, people with calciphylaxis have an imbalance in the metabolism of calcium. This causes calcium to be deposited in the smallest parts of the arteries (arterioles), which eventually leads to the formation of blood clots in the arterioles. Blood clots can cause fat tissues and skin to be deprived of oxygen and nourishment.",Derealization Disorder
"vomiting,breathlessness,sweating",Pertussis
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Precocious Puberty
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Rhinitis
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Inflammatory Bowel Disease (Ibd)
"itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Fatigue
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Posterior Vitreous Detachment
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Delirium
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",Iron Deficiency
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Pregnancy Cravings/Aversions
"Symptoms of brucellosis may show up anytime from a few days to a few months after you've been infected. Signs and symptoms are similar to those of the flu and include:  Fever Chills Loss of appetite Sweats Weakness Fatigue Joint, muscle and back pain Headache  Brucellosis symptoms may disappear for weeks or months and then return. Some people have chronic brucellosis and experience symptoms for years, even after treatment. Long-term signs and symptoms may include:  Fatigue Recurrent fevers Inflammation of the inner lining of the heart chambers (endocarditis) Joint inflammation (arthritis) Arthritis of the spinal bones (spondylitis) Arthritis of joints where the spine and pelvis connect (sacroiliitis) ",Delusional Parasitosis
"Signs and symptoms of CAH vary, depending on which gene is affected and the level of enzyme deficiency. The imbalance of hormones the body needs to function may mean too little cortisol, too little aldosterone, excess androgens or a combination of these imbalances. CAH Classic CAH Signs and symptoms of classic CAH may include: CAH  Insufficient cortisol. Classic CAH causes the body to produce an insufficient amount of cortisol. This can cause problems maintaining normal blood pressure, blood sugar and energy levels, and cause problems during physical stress such as illness. Adrenal crisis. People with classic CAH can be seriously affected by a lack of cortisol, aldosterone or both. This is known as an adrenal crisis, and it can be life-threatening.  Atypical genitalia. Female infants may have atypical genitalia appearance, such as an enlarged clitoris that may resemble a penis, and a partially closed labia resembling a scrotum. The urinary opening (urethra) and the vagina may be only one opening instead of two separate openings. The uterus, fallopian tubes and ovaries usually develop typically. Male infants usually have typical-appearing genitals.   Excess androgen. An excess of the male sex hormone androgen can result in short height and early puberty for both males and females. Pubic hair and other signs of puberty may appear at a very early age. Severe acne also may occur. Excess androgen hormones in females may result in facial hair, excessive body hair and a deepening voice.  Altered growth. Rapid growth may occur during childhood with an advanced bone age. Final height may be shorter than average. Fertility issues. These can include irregular menstrual periods, or not having any at all, and having infertility problems in females. Fertility issues can sometimes occur in males.  Nonclassic CAH Often there are no symptoms of nonclassic CAH when a baby is born. Some people with nonclassic CAH never have symptoms. The condition is not identified on routine infant blood screening and usually becomes evident in late childhood or early adulthood. Cortisol may be the only hormone that's deficient. CAH CAH Females who have nonclassic CAH may have typical-appearing genitals at birth. Later in life, they may experience: CAH  Irregular menstrual periods, or not having any at all, and problems getting pregnant Masculine characteristics such as facial hair, excessive body hair and a deepening voice  In both females and males, signs of nonclassic CAH may also include: CAH  Early appearance of pubic hair and other signs of early puberty Severe acne Rapid growth during childhood with an advanced bone age and shorter than expected final height ",Glossitis
